爻名,通し番号,卦番号,爻,爻辞,現代解釈の要約,パターンの分類,点数,キーワード,親となる卦,キーワードタグ,S1_基本スコア,S2_ポテンシャル,S3_安定性スコア,S4_リスク,S5_主体性,S6_変動性スコア,S7_総合評価スコア,論理キーワードタグ
雷天大壮 九四,204,34,九四,貞吉。悔亡。藩決不羸。… （ていきち。くいほろぶ。はんひらけてくるしまず。…） 意味：正しくしていれば吉。悔いがなくなる。垣根が開いて絡まらない。,これまでの無謀な行動を改め、正しい道に戻ることで、困難な状況から脱却できる。過去の過ちや後悔が解消される、回復の兆し。,勝ちパターン,1,"困難の克服, 悔いの解消, 軌道修正",雷天大壮,"吉, 困難の克服, 悔いの解消, 軌道修正",67,40,40,45,能動,44,38,"状況:困窮状態, 状況:変革期, 力学:協力者なし, 心理:内省, 心理:正道堅持"
雷天大壮 六五,205,34,六五,喪羊于易。无悔。 （ようをいにおいてうしなう。くいなし。） 意味：安易に羊を失う。悔いることはない。,勢いがある時こそ、小さな利益や、ささいな争いに固執しない。大局を見て、不要なものを手放すその余裕と判断力が、悔いのない結果を生む。,勝ちパターン,1,"大局観, 余裕, 賢明な判断",雷天大壮,"余裕, 大局観, 賢明な判断",83,75,76,35,能動,8,74,"状況:絶頂期, 力学:協力者あり, 心理:内省"
雷天大壮 上六,206,34,上六,羝羊触藩。不能退。不能遂。无攸利。艱則吉。 （ていようはんをふみ、しりぞくことあたわず、すすむことあたわず。りするところなし。なやむとすなわちきち。） 意味：牡羊が垣根に突進し、退くも進むもできない。利益はない。困難であれば吉。,勢いに任せた暴走の極み。進むことも退くこともできない、完全な行き詰まり状態。しかし、その極限の困難を自覚し、深く反省すれば、再生の道も残されている。,やや破滅パターン,-1,"行き詰まり, 膠着状態, 孤立",雷天大壮,"吉, 孤立, 膠着状態, 行き詰まり",25,65,36,45,能動,44,46,"状況:困窮状態, 状況:終極期, 力学:協力者あり"
火地晋 初六,207,35,初六,晋如摧如。貞吉。 （しんじょさいじょ。ていきち。） 意味：進もうとしては、挫けそうになる。正しくしていれば吉。,物事の始まりで、抵抗や障害に遭い、自信が揺らぐ。しかし、焦らず、正しい道を信じて地道な努力を続ければ、必ず乗り越えられる。,停滞・中立パターン,0,"始まりの困難, 障害, 忍耐",火地晋,"吉, 始まりの困難, 忍耐, 障害",50,40,52,25,受動,28,52,"状況:黎明期, 力学:協力者あり, 心理:正道堅持"
火地晋 六二,208,35,六二,晋如愁如。貞吉。受茲介福于其祖母。 （しんじょしゅうじょ。ていきち。このたいふくをそのそぼにうく。） 意味：進もうとしては憂いがある。正しくしていれば吉。祖母から大きな福を受ける。,進展の中にも、将来への不安や懸念を抱く時期。しかし、誠実さを保っていれば、経験豊富な支援者（祖母）からの助けを得て、状況は好転する。,勝ちパターン,1,"不安, 支援者, 恩恵",火地晋,"不安, 吉, 恩恵, 支援者",83,40,64,35,受動,20,54,"状況:安定期, 力学:協力者なし, 心理:正道堅持"
火地晋 六三,209,35,六三,衆允。悔亡。 （しゅういんす。くいほろぶ。） 意味：多くの人が同意する。悔いがなくなる。,自分の行動や提案が、多くの人々から賛同と支持を得られる。これまでの苦労が報われ、過去の失敗や後悔が完全に解消される、最高の状態。,大勝ちパターン,2,"大衆の支持, 合意形成, 信頼",火地晋,"信頼, 合意形成, 大衆の支持",75,40,44,55,受動,40,36,"状況:移行期, 力学:協力者あり, 力学:順当な力関係, 心理:内省"
火地晋 九四,210,35,九四,晋如鼫鼠。貞厲。 （しんじょせきそのごとし。ていあやうし。） 意味：ネズミのように進む。正しくても危うい。（※解釈テキストでは「晋如鼜如」）,（解釈テキストに基づき）物事が急速に発展し、大きな注目を集める。勢いがあるが、暴走の危険も伴う。正しい方向性を保つことができれば吉。,勝ちパターン,1,"急速な進展, 飛躍, 勢い",火地晋,"リスクあり, 勢い, 吉, 急速な進展, 飛躍",67,55,40,60,能動,48,38,"状況:変革期, 力学:下剋上リスク, 力学:協力者あり, 心理:正道堅持"
火地晋 六五,211,35,六五,悔亡。…得尚于中行。 （くいほろぶ。…ちゅうこうにたっとばるるをえる。） 意味：悔いがなくなる。…中庸の道によって高く評価される。,キャリアの頂点に立ち、過去の苦労が報われる。公平で偏りのないリーダーシップを発揮することで、内外から高い評価と信頼を得る。,大勝ちパターン,2,"リーダーシップ, 中庸, 功績, 名声",火地晋,"リーダーシップ, 中庸, 功績, 名声",92,45,64,45,受動,24,52,"状況:絶頂期, 力学:協力者なし, 力学:順当な力関係, 心理:内省"
火地晋 上九,212,35,上九,晋其角。…貞吝。 （そのつのをすすむ。…ていはりん。） 意味：その角で進む。…正しくすれば恥ずかしい。,成功の勢いに乗り、自分の能力を過信して、強引な手段や自己中心的な行動に出る。一時的に目的を達成できても、そのやり方は周囲の反発を招き、長期的には孤立や恥をかく原因となる。,やや破滅パターン,-1,"行き過ぎ, 強引, 孤立",火地晋,"孤立, 強引, 行き過ぎ",25,55,36,55,能動,32,38,"状況:終極期, 力学:協力者あり, 心理:正道堅持"
地火明夷 初九,213,36,初九,明夷于飛。垂其翼。… （めいいひにあり。そのつばさをたる。…） 意味：光明が飛び去る。翼を垂れる（隠す）。,危険の兆候をいち早く察知し、その影響が及ぶ前に、賢明に身を引く。自分の能力を隠し、目立たないようにして、災いを未然に回避する。,勝ちパターン,1,"危機察知, 賢明な撤退, 自己防衛",地火明夷,"危機察知, 自己防衛, 賢明な撤退",75,55,48,45,能動,56,48,"状況:黎明期, 力学:下剋上リスク, 力学:協力者あり"
地火明夷 六二,214,36,六二,明夷于左股。用拯馬壮。吉。 （めいいひだりのこにあり。じょうばをもちいてすくう。きち。） 意味：光明が左股を傷つける。強い馬で救う。吉。,危険な状況に巻き込まれ、負傷するなどの苦痛を伴う。しかし、信頼できる強力な支援者（強い馬）を得ることで、その困難を乗り越えることができる。,勝ちパターン,1,"負傷, 支援者, 危機克服",地火明夷,"危機克服, 吉, 支援者, 負傷",83,40,72,35,受動,24,58,"状況:困窮状態, 状況:安定期, 力学:協力者なし, 力学:順当な力関係"
地火明夷 九三,215,36,九三,明夷于南狩。得其大首。不可疾貞。 （めいいなんしゅにあり。そのたいしゅをう。はやくしてていなるべからず。） 意味：光明を隠し南へ狩りに行く。その大将の首を得る。急いで正してはいけない。,危険な状況下で、自らの真の意図を隠し、戦略的に行動する。その知恵によって、問題の根源である首謀者（大首）を討ち取り、大きな成功を収める。,大勝ちパターン,2,"戦略, 根本解決, 忍耐",地火明夷,"忍耐, 戦略, 根本解決",83,55,32,65,能動,52,32,"状況:移行期, 力学:下剋上リスク, 力学:協力者あり, 心理:正道堅持"
地火明夷 六四,216,36,六四,入于左腹。獲明夷之心。于出門庭。 （ひだりのはらにいる。めいいのこころをう。もんていをいず。） 意味：（敵の）左腹に入り込む。光明を隠す者の心を得て、門を出ていく。,敵陣の懐深くに潜入し、相手の真意や弱点を突き止める。目的を達成したら、速やかにその危険な場所から脱出するという、諜報活動の成功。,勝ちパターン,1,"潜入, 諜報, 情報収集",地火明夷,"情報収集, 潜入, 諜報",75,40,60,25,受動,56,56,"状況:変革期, 力学:協力者あり"
地火明夷 六五,217,36,六五,箕子之明夷。利貞。 （きしのめいい。ていによろし。） 意味：箕子のように光明を隠す。正しくしていればよい。,有能な賢者が、暴君の下で、あえて愚かなふりをして、自身の才能を隠し、災いを避ける。無理に抵抗せず、時が来るまで耐え忍ぶ、究極の自己防衛。,停滞・中立パターン,0,"忍耐, 韜晦, 生存戦略",地火明夷,"忍耐, 生存戦略, 韜晦",58,55,56,35,受動,20,56,"状況:絶頂期, 力学:協力者なし, 心理:正道堅持"
地火明夷 上六,218,36,上六,不明晦。初登于天。後入于地。 （めいならずくらし。はじめはてんにのぼり、のちにはちにいる。） 意味：光なく暗い。初めは天に昇るが、後には地に落ちる。,闇の支配者そのものの末路。一時は最高の権力を手にするが、その悪行ゆえに、最終的には完全に失墜し、破滅する。,破滅パターン,-2,"独裁者の末路, 破滅, 因果応報",地火明夷,"因果応報, 独裁者の末路, 破滅",17,40,44,45,受動,44,40,"状況:終極期, 力学:協力者あり"
風火家人 初九,219,37,初九,閑有家。悔亡。 （かんゆうか。くいほろぶ。） 意味：家を厳しく守る。悔いは消える。,組織や家庭の始まりにおいて、まず明確で厳格なルールを設定する。その事前の取り決めが、後の不正や混乱を防ぎ、悔いをなくす。,勝ちパターン,1,"規律, 秩序, 基礎固め",風火家人,"基礎固め, 秩序, 規律",75,40,48,45,能動,52,42,"状況:黎明期, 力学:協力者なし, 心理:内省"
風火家人 六二,220,37,六二,无攸遂。在内貞吉。 （ゆうになすことなし。ないにありてていきち。） 意味：外に求めるものはない。内を正しくしていれば吉。,外部への拡大や目立つ活動よりも、まずは内部の体制を固め、組織や家庭の基盤を充実させることに専念する。その堅実さが吉となる。,勝ちパターン,1,"内部の充実, 自己管理, 守り",風火家人,"内部の充実, 吉, 守り, 自己管理",75,70,56,45,能動,24,58,"状況:安定期, 力学:下剋上リスク, 力学:協力者あり, 心理:正道堅持"
風火家人 九三,221,37,九三,家人嗃嗃。悔厲吉。婦子嘻嘻。終吝。 （かじんこうこう。かいれいきち。ふしきき。おわりにはじ。） 意味：家族が厳しすぎて怒り合う。悔いるが危うくも吉。妻や子が和んで笑うようでは、結局は恥。,規律が厳しすぎて内部で反発が起きる。しかし、甘やかして規律が緩むよりは、厳格さを保つ方が、危うさはあっても最終的には吉となる。バランスの難しさ。,停滞・中立パターン,0,"バランス, 厳格さ, 規律",風火家人,"バランス, リスクあり, 厳格さ, 吉, 規律",42,40,44,70,受動,40,30,"状況:移行期, 力学:協力者あり, 力学:順当な力関係, 心理:内省"
風火家人 六四,222,37,六四,富家。大吉。 （ふか。たいきち。） 意味：家を豊かにする。大いに吉。,組織や家庭の内部が、物質的にも精神的にも豊かで、非常に良い状態。メンバーがそれぞれの役割を果たし、組織全体が繁栄している。,大勝ちパターン,2,"繁栄, 豊かさ, 安定",風火家人,"吉, 安定, 繁栄, 豊かさ",83,40,28,55,能動,72,28,"状況:変革期, 力学:下剋上リスク, 力学:協力者なし"
風火家人 九五,223,37,九五,王假有家。勿恤。吉。 （おうかくゆうか。うれうることなかれ。きち。） 意味：王が家を正しく治める。心配することはない。吉。,リーダーが、公正で模範的な行動を通じて、組織を効果的に統治している。その徳により組織全体が安定し、心配のいらない理想的な状態。,大勝ちパターン,2,"理想のリーダー, 信頼, 安心感",風火家人,"信頼, 吉, 安心感, 理想のリーダー",92,60,76,25,受動,12,72,"状況:絶頂期, 力学:協力者あり, 力学:順当な力関係"
風火家人 上九,224,37,上九,有孚威如。終吉。 （まことありいじょ。おわりにきち。） 意味：真心があり、威厳があるように。最終的には吉。,長年の努力と実績、そして真心によって、揺るぎない権威が確立された状態。厳しさの中にも温かさがあり、人々が自発的に従う、完成されたリーダーシップ。,大勝ちパターン,2,"権威, 威厳, 信頼, 完成",風火家人,"信頼, 吉, 威厳, 完成, 権威",75,55,36,45,能動,44,42,"状況:終極期, 力学:協力者あり"
火沢睽 初九,225,38,初九,悔亡。喪馬勿逐。自復。 （くいほろぶ。うまをうしなうもおうなかれ。おのずからかえる。） 意味：悔いは消える。馬を失っても追いかけない。自然に戻ってくる。,対立の初期段階。些細な行き違いや損失があっても、感情的に相手を追い詰めず、冷静に対処する。誠実な態度でいれば、誤解は自然と解ける。,勝ちパターン,1,"早期解決, 冷静な対応, 自制",火沢睽,"冷静な対応, 早期解決, 自制",75,55,48,55,能動,56,44,"状況:黎明期, 力学:下剋上リスク, 力学:協力者あり, 心理:内省"
火沢睽 九二,226,38,九二,遇主于巷。无咎。 （しゅをこうにあう。とがなし。） 意味：巷（ちまた）で主君に出会う。咎めはない。,周囲が対立している中で、偶然、あるいは意外な場所で、真に理解し合える協力者やリーダーに出会う。この出会いが、状況を好転させるきっかけとなる。,勝ちパターン,1,"理解者, 協力者, 偶然の出会い",火沢睽,"偶然の出会い, 協力者, 問題なし, 理解者",83,55,84,25,受動,24,74,"状況:安定期, 力学:協力者あり, 力学:順当な力関係"
火沢睽 六三,227,38,六三,見輿曳。其牛掣。其人天且劓。无初有終。 （よをひくをみる。そのうしせいせらる。そのひとてんしかつげいせらる。はじめなきも、おわりあり。） 意味：車が牛を引きずり、旅人は天罰で鼻を切られる。初めはないが終わりはある。,組織内で深刻な不調和が生じ、互いに足を引っ張り合う。痛みを伴う抜本的な調整が必要となる、非常に困難な状況。しかし、それを乗り越えれば、最終的には良い結果に繋がる。,停滞・中立パターン,0,"内部分裂, 深刻な不和, 試練",火沢睽,"内部分裂, 深刻な不和, 試練",50,40,20,75,能動,76,16,"状況:困窮状態, 状況:移行期, 力学:下剋上リスク, 力学:協力者なし"
火沢睽 九四,228,38,九四,睽孤。遇元夫。交孚。厲无咎。 （けいこ。げんぷにあう。こうしんす。あやうけれどもとがなし。） 意味：対立し孤立する。偉大な男に出会い、真心が通じ合う。危ういが咎めなし。,対立の中で深く孤立するが、自分を真に理解してくれる器の大きな人物と出会う。誠実な対話によって、危うい状況を打開し、咎めを免れる。,勝ちパターン,1,"孤立, 真の理解者, 信頼関係",火沢睽,"リスクあり, 信頼関係, 問題なし, 孤立, 真の理解者",75,40,68,40,受動,48,54,"状況:変革期, 力学:協力者あり, 力学:順当な力関係"
火沢睽 六五,229,38,六五,悔亡。厥宗噬膚。往何咎。 （くいほろぶ。そのそうふをかむ。ゆけばなんのとがあらん。） 意味：悔いは消える。その一族が肉を噛む（親密になる）。進んで何の咎めがあろうか。,長く続いた対立や誤解が完全に解消され、関係が回復する。分裂していた人々が再び固く団結し、本音で語り合える、最高の和解の状態。,大勝ちパターン,2,"和解, 団結, 関係修復",火沢睽,"和解, 団結, 関係修復",100,75,76,35,能動,20,74,"状況:絶頂期, 力学:協力者あり, 心理:内省"
火沢睽 上九,230,38,上九,睽孤。見豕負塗。載鬼一車。…往遇雨則吉。 （けいこ。しにどをおうをみる。おにをのせることいっしゃ。…ゆきてあめにあえばすなわちきち。） 意味：対立し孤立する。豚が泥を背負い、鬼が車に満載されているのを見る。…進んで雨に遭えば吉。,対立が極まり、周囲の全てが敵に見えるほど、極度に孤立し、疑心暗鬼に陥っている。しかし、状況が好転する機会（雨）が訪れる可能性も残されている。,やや破滅パターン,-1,"疑心暗鬼, 敵意, 孤立",火沢睽,"吉, 孤立, 敵意, 疑心暗鬼",25,40,24,55,能動,56,26,"状況:終極期, 力学:協力者なし"
水山蹇 初六,231,39,初六,往蹇来誉。 （ゆけばけん、きたればほまれ。） 意味：進めば困難だが、退けば誉められる。,困難の初期段階。これ以上進むことの不利をいち早く察知し、潔く撤退する。その賢明な判断が、結果的に損失を避け、周囲からの評価を得る。,勝ちパターン,1,"賢明な判断, 撤退, 損失回避",水山蹇,"損失回避, 撤退, 賢明な判断",67,25,48,35,受動,44,40,"状況:困窮状態, 状況:黎明期, 力学:協力者なし, 力学:順当な力関係"
水山蹇 六二,232,39,六二,王臣蹇蹇。非躬之故。 （おうしんけんけん。みのためならず。） 意味：王の臣下が足踏みする。自分自身のせいではない。,忠実に任務を果たそうとしても、外部要因や不可抗力によって、物事が進まない。個人の責任ではないため、耐え忍び、時を待つしかない状況。,停滞・中立パターン,0,"不可抗力, 忍耐, 外部要因",水山蹇,"不可抗力, 外部要因, 忍耐",58,70,56,45,能動,36,58,"状況:安定期, 力学:下剋上リスク, 力学:協力者あり"
水山蹇 九三,233,39,九三,往蹇来反。 （ゆけばけん、きたればはんす。） 意味：進めば困難、戻っても（同じ困難に）戻るだけ。,進むも退くも地獄という、八方塞がりの最も苦しい状況。どう行動しても裏目に出る可能性が高く、下手に動くとさらに事態が悪化する。,破滅パターン,-2,"進退両難, 八方塞がり, 行き詰まり",水山蹇,"八方塞がり, 行き詰まり, 進退両難",8,40,36,45,受動,48,36,"状況:困窮状態, 状況:移行期, 力学:協力者あり"
水山蹇 六四,234,39,六四,往蹇来連。 （ゆけばけん、きたればつらなる。） 意味：進めば困難、戻れば連なり合う。,独力で困難を打開できない時。内向きに閉じこもるのではなく、戻って仲間と連携し、協力体制を築くことで、初めて解決の道が開ける。,勝ちパターン,1,"協力, 連携, 支援者",水山蹇,"協力, 支援者, 連携",75,25,48,35,受動,56,40,"状況:困窮状態, 状況:変革期, 力学:協力者なし"
水山蹇 九五,235,39,九五,大蹇朋来。 （たいけんにともきたる。） 意味：大いなる困難だが、友が来る。（吉）,最も深刻な困難の最中に、真に信頼できる友人や協力者（朋）が現れ、助けとなる。絶望的な状況に、希望の光が差し込む、劇的な好転。,大勝ちパターン,2,"救済, 友情, 支援, 危機脱出",水山蹇,"危機脱出, 友情, 吉, 支援, 救済",92,60,76,25,受動,12,72,"状況:困窮状態, 状況:絶頂期, 力学:協力者あり, 力学:順当な力関係"
水山蹇 上六,236,39,上六,往蹇来碩。吉。利見大人。 （ゆけばけん、きたればせき。きち。たいじんにみるによろし。） 意味：進めば困難、戻れば大いなるもの。吉。目上の人に会うのがよい。,長い困難の時期を耐え抜き、その経験を通じて、大きな成果や人間的な成長（碩）を得る。その徳が認められ、新たな活躍の道が開ける。,大勝ちパターン,2,"苦難の克服, 精神的成長, 大成",水山蹇,"出会い, 吉, 大成, 師事, 精神的成長, 苦難の克服",75,65,36,45,能動,44,46,"状況:困窮状態, 状況:終極期, 力学:協力者あり, アクション:専門家相談"
雷水解 初六,237,40,初六,无咎。 （とがなし。） 意味：咎められない。,困難な状況から抜け出すための、最初の正しい一歩。まだ大きな成果はないが、問題解決に向けたその行動自体は正しく、咎められない。,勝ちパターン,1,"第一歩, 解決の始まり, 積極性",雷水解,"問題なし, 積極性, 第一歩, 解決の始まり",75,55,48,45,能動,56,48,"状況:困窮状態, 状況:黎明期, 力学:下剋上リスク, 力学:協力者あり"
雷水解 九二,238,40,九二,田獲三狐。得黄矢。貞吉。 （でんにさんこをう。こうしをう。ていきち。） 意味：田で三匹の狐を捕らえる。黄色の矢を得る。正しくしていれば吉。,解決すべき具体的な問題（狐）を、公正な手段（黄矢）を用いて、的確かつ徹底的に排除する。その断固たる行動が、大きな成功を収める。,大勝ちパターン,2,"問題の排除, 断固たる行動, 正義",雷水解,"吉, 問題の排除, 断固たる行動, 正義",100,55,76,25,受動,8,70,"状況:安定期, 力学:協力者あり, 心理:正道堅持"
雷水解 六三,239,40,六三,負且乗。致寇至。貞凶。 （おいてかつのる。こうをいたすにいたる。ていはきょう。） 意味：荷物を背負い、かつ車に乗る。賊を招き寄せる。正しくても凶。,問題解決の過程で、自分の能力を過信し、分不相応な地位や振る舞いをする。その油断や傲慢さが、新たなトラブルや敵（寇）を引き寄せてしまう。,破滅パターン,-2,"傲慢, 油断, 身の程知らず",雷水解,"傲慢, 凶, 油断, 身の程知らず",8,25,24,85,受動,60,8,"状況:移行期, 力学:協力者なし, 心理:正道堅持"
雷水解 九四,240,40,九四,解而拇。朋至斯孚。 （そのぼをとき、ともいたりてまこととす。） 意味：足の親指を解き放つ。友が来て、真心がある。,自分の足かせとなっていた、不適切な仲間や、古いしがらみ（拇）を断ち切る。その結果、本当に信頼できる仲間（朋）が現れ、協力関係が築ける。,勝ちパターン,1,"悪縁を断つ, 決断, 信頼関係",雷水解,"信頼関係, 悪縁を断つ, 決断",75,40,68,25,受動,36,60,"状況:変革期, 力学:協力者あり, 力学:順当な力関係"
雷水解 六五,241,40,六五,君子維解。吉。有孚于小人。 （くんしただ解くことあり。きち。しょうじんにまことあり。） 意味：君子が解決する。吉。小人にも真心が伝わる。,リーダーが、賢明な判断と行動によって、困難な問題を解決に導く。その公正なやり方は、部下や大衆からも信頼され、組織全体に平和が戻る。,大勝ちパターン,2,"リーダーシップ, 問題解決, 信頼獲得",雷水解,"リーダーシップ, 信頼獲得, 吉, 問題解決",100,75,64,45,能動,36,64,"状況:困窮状態, 状況:絶頂期, 力学:下剋上リスク, 力学:協力者あり"
雷水解 上六,242,40,上六,公用射隼于高墉之上。獲之无不利。 （こうもってはやぶさをこうようのうえにいる。これをえてふりなきなし。） 意味：公が高い城壁の上の隼を射る。これを得れば不利なことはない。,組織や社会に潜む、根深い悪の元凶（隼）を、権威ある者（公）が断固として排除する。これにより、全ての問題が最終的に解決され、完全な安寧が訪れる。,大勝ちパターン,2,"根本解決, 最終的な勝利, 決断",雷水解,"凶, 最終的な勝利, 根本解決, 決断",83,35,32,55,受動,56,28,"状況:終極期, 力学:協力者なし"
山沢損 初九,243,41,初九,已事遄往。无咎。酌損之。 （ことをやみとくゆく。とがなし。これをくみてそんす。） 意味：事をやめて速やかに行く。咎めなし。減らすことを量り定める。,損失の兆候をいち早く察知し、迅速に対処する。無駄なものを減らすべきだと判断したら、躊躇なく行動に移す。その早期決断が、被害を最小限に抑える。,勝ちパターン,1,"早期決断, 迅速な対応, 損失削減",山沢損,"問題なし, 損失削減, 早期決断, 迅速な対応",75,55,60,25,能動,40,62,"状況:黎明期, 力学:協力者あり"
山沢損 九二,244,41,九二,利貞。征凶。弗損益之。 （ていによろし。ゆけばきょう。そんせずしてこれをえきす。） 意味：正しくして良い。進めば凶。損なうことなく益する。（※解釈テキストでは「貞吉。无咎」）,見せかけの飾りや無駄をなくすことで、実質的な価値や本質を強化する。コストをかけずに、あるいは損をすることなく、全体をより効率的に、より健全にすること。理想的な「損」。,大勝ちパターン,2,"効率化, 合理化, 無駄の排除",山沢損,"凶, 効率化, 合理化, 吉, 問題なし, 無駄の排除",92,80,56,65,能動,36,54,"状況:安定期, 力学:下剋上リスク, 力学:協力者あり, 心理:正道堅持"
山沢損 六三,245,41,六三,三人行則損一人。一人行則得其友。 （さんにんゆけばすなわちいちにんをそんす。いちにんゆけばすなわちそのともをう。） 意味：三人で行けば一人を損なう。一人で行けばその友を得る。,組織やチーム内の不和要素を、痛みを伴いながらも切り離す決断。不適切な関係を断ち切ることで、本当に価値ある協力者や仲間を得られる。,勝ちパターン,1,"痛みを伴う決断, 再構築, 関係の整理",山沢損,"再構築, 痛みを伴う決断, 関係の整理",58,40,36,45,受動,48,36,"状況:移行期, 力学:協力者あり"
山沢損 六四,246,41,六四,損其疾。使遄有喜。无咎。 （そのしつをそんす。はやからしめてよろこびあらしむ。とがなし。） 意味：その病を減らす。速やかに喜びがあるようにする。咎めなし。,組織や個人に蔓延する悪癖や非効率（病）を、その根本から取り除く。痛みを伴うが、迅速な治療が、早期の良い結果（喜び）に繋がる。,勝ちパターン,1,"根本治療, 自己改革, 問題解決",山沢損,"問題なし, 問題解決, 根本治療, 自己改革",75,40,60,25,受動,44,56,"状況:変革期, 力学:協力者あり"
山沢損 六五,247,41,六五,或益之。十朋之亀弗克違。元吉。 （あるいはこれをえきす。じっぽうのきもよくたがわず。げんきち。） 意味：あるいはこれを益する。十朋の亀も背けない。大いに吉。,これまでの自己犠牲的な努力や、賢明な削減が報われ、外部から大きな助けや予期せぬ利益がもたらされる。その徳により、最高の幸運を得る。,大勝ちパターン,2,"恩恵, 報われる努力, 信頼",山沢損,"信頼, 吉, 報われる努力, 恩恵",92,60,76,25,受動,12,72,"状況:絶頂期, 力学:協力者あり, 力学:順当な力関係"
山沢損 上九,248,41,上九,弗損益之。无咎。貞吉。…得臣无家。 （そんせずしてこれをえきす。とがなし。ていきち。…しんをえていえなし。） 意味：損なうことなく益する。咎めなし。正しくして吉。…家を持たない臣を得る。,究極の無私な貢献。自分の利益を損なうことなく、相手や全体に最大限の利益をもたらす。その高潔な姿勢が、私利私欲のない、真に忠実な協力者を引き寄せる。,大勝ちパターン,2,"無私な貢献, 大義, 普遍的価値",山沢損,"吉, 問題なし, 大義, 普遍的価値, 無私な貢献",75,55,36,45,能動,32,42,"状況:終極期, 力学:協力者あり, 心理:正道堅持"
風雷益 初九,249,42,初九,利用為大作。元吉。无咎。 （もってたいさくをなすによろし。げんきち。とがなし。） 意味：大いなる事業を行うのに良い。大いに吉。咎めなし。,利益を増やす初期段階。社会貢献など、より大きな目的のための事業に、大胆かつ意欲的に乗り出す。その志が正しければ、最高の幸運を得られる。,大勝ちパターン,2,"大事業, 積極性, 社会貢献",風雷益,"吉, 問題なし, 大事業, 社会貢献, 積極性",92,65,48,45,能動,56,52,"状況:黎明期, 力学:下剋上リスク, 力学:協力者あり"
風雷益 六二,250,42,六二,或益之。十朋之亀弗克違。永貞吉。 （あるいはこれをえきす。じっぽうのきもよくたがわず。えいていきち。） 意味：あるいはこれを益する。十朋の亀も背けない。永く正しければ吉。,自身の行動だけでなく、予期せぬ形で外部から大きな助けや利益がもたらされる。これまでの誠実な行いが報われ、揺るぎない信頼となっている状態。,大勝ちパターン,2,"恩恵, 信頼, 予期せぬ幸運",風雷益,"予期せぬ幸運, 信頼, 吉, 恩恵",100,55,76,25,受動,8,70,"状況:安定期, 力学:協力者あり, 心理:正道堅持"
風雷益 六三,251,42,六三,益之用凶事。无咎。有孚中行。… （これをえきするにきょうじをもちう。とがなし。まことありてちゅうこうす。…） 意味：凶事を利用して益する。咎めなし。真心をもって中庸を行く。,困難な状況や不幸な出来事（凶事）を、逆にチャンスとして活かし、利益に転換する。誠実さと公正さをもって対処すれば、咎められることはない。,勝ちパターン,1,"危機をチャンスに, 逆転の発想, 誠実",風雷益,"凶, 危機をチャンスに, 問題なし, 誠実, 逆転の発想",58,50,36,65,受動,48,32,"状況:困窮状態, 状況:移行期, 力学:協力者あり"
風雷益 六四,252,42,六四,中行告公。従。利用為依遷国。 （ちゅうこうしてこうにつぐ。したがう。もってくにをうつすによろし。） 意味：中庸を行い公に報告する。従う。国を移す（大きな変革）のに用いるのが良い。,組織の中核として、公正な立場で上層部（公）に進言し、信頼を得る。その提言が、組織全体をより良くするための、大きな改革へと繋がっていく。,勝ちパターン,1,"橋渡し, 信頼, 改革",風雷益,"信頼, 改革, 橋渡し",75,50,68,25,能動,48,64,"状況:変革期, 力学:協力者あり, 力学:順当な力関係"
風雷益 九五,253,42,九五,有孚恵心。勿問。元吉。… （まことありてけいしんあり。とうなかれ。げんきち。…） 意味：真心と恵み深い心がある。問う必要はない。大いに吉。,リーダーが、見返りを求めず、心からの思いやり（恵心）で、人々や社会に恩恵を与える。その無私の精神が、最高の幸運を引き寄せる、理想的な状態。,大勝ちパターン,2,"無私な貢献, 恵み深い心, リーダーシップ",風雷益,"リーダーシップ, 吉, 恵み深い心, 無私な貢献",100,75,76,25,能動,20,78,"状況:絶頂期, 力学:協力者あり"
風雷益 上九,254,42,上九,莫益之。或撃之。立心勿恒。凶。 （これをえきするものなし。あるいはこれをうつ。こころをたつることつねなるなかれ。きょう。） 意味：これを益する者がいない。あるいはこれを撃つ者もいる。心を常に保てない。凶。,利益を独り占めしようと、強欲で自己中心的な行動に走る。その結果、誰からも助けられず、逆に周囲から非難され、攻撃されて破滅する。,破滅パターン,-2,"強欲, 独り善がり, 孤立, 破滅",風雷益,"凶, 孤立, 強欲, 独り善がり, 破滅",8,55,36,65,能動,44,34,"状況:終極期, 力学:協力者あり"
沢天夬 初九,255,43,初九,壮于前趾。不勝為咎。… （そうをぜんしにす。かたずんばとがとなる。…） 意味：足の指に力がみなぎる。勝てなければ咎めとなる。,意欲に満ちているが、まだ準備不足の初期段階。この状態で性急に大きな行動を起こしても、力及ばず失敗し、咎めを受ける危険性が高い。,やや破滅パターン,-1,"勇み足, 準備不足, 軽率",沢天夬,"勇み足, 準備不足, 軽率",42,40,48,35,能動,52,46,"状況:黎明期, 力学:協力者なし, アクション:準備"
